cosmo,,solar,,sn1987a,,reactor,,earyh anti nu,,dsnb,,atmospheric,,agn,,cosmogen,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0000014079869354831368,2730920115944280,42.607785906276696,0.051568718617675924,248632.50517861935,10818683.323530816,1661568.4772771792,183121.98634230223,164628.11830100388,3661429.5129220034,168583.86969354204,0.449986774690381,3026372.5668290714,0.0033766018824482576,2699612185.1933827,1.0051278920448503e-17,1077939997158860.5,2.6605342279564853e-27
0.0000019660368525681954,9220123568704816,61.94141963855006,0.19362880511539027,399758.76107691304,32852232.522444405,2625782.136745983,82450.5021900489,256086.23579194522,6441003.025415115,307057.82242961536,1.1176281869160973,4625298.070310409,0.006204313449490022,4556529646.253074,1.0244199045111402e-17,1733144093407675,4.3565451258915706e-27
0.0000026750704517686164,30276600300244756,89.62308104463098,0.6750599323451321,642744.0649521801,96592637.69692318,3299290.7448368897,38367.97025520261,413126.46603667503,6973528.867082475,504711.4099954597,2.446780599945516,7861144.764247413,0.01396300501999576,7120106465.466387,1.0440821999513135e-17,2786600790796364.5,6.357334705869777e-27
0.0000036189194316424843,91365261646996080,124.16868694446855,1.9985908720957448,1033423.0872597817,251930667.2732378,4533512.179170364,10832.943282322265,651338.9181956217,6313082.398405347,797597.1034005592,4.731805510251569,12639383.13031182,0.024164160044023643,12101314728.4859,9.304524538871635e-18,4480379904246302.5,8.229355255264594e-27
0.0000048957880133814116,275711637140337730,168.6398636121649,6.622030746407534,1661568.4772771792,585568278.5558931,5446511.887340175,3642.19573138842,1104724.636571647,4473670.249064647,1282400.423327113,7.819941290439775,20690838.343093123,0.030187926312128317,19456854926.454422,8.1029951356905e-18,7203688505606626,9.669911948345648e-27
0.000006623175985183661,861651947945353500,236.49838606914204,20.592569764051373,2671519.379349024,1090928469.0649557,6493129.604348497,1003.4171130309479,1582021.751700934,233610.71584694355,2061881.6677468128,10.358630161880725,57272261.13545321,0.014757008829051427,31283311947.747585,6.2309350480964946e-18,11582305339024278,1.0314429291241885e-26
0.000009101811545679841,2554939666415867400,311.50518988794704,56.592178917614724,4295348.576865673,1636586095.2848792,7799681.46941117,236.811328894146,2268713.2031826493,104786.69735770735,3315154.8724231147,10.747693913243667,92084050.47093187,0.006679126281906946,50298242450.76052,4.289651238586679e-18,18622376142719330,9.714582476572667e-27
0.000012385918688296183,7785246062238291000,433.45152145618664,167.5511893805547,6906189.6160669895,1794614869.9748204,8757064.337623943,28.031884870023227,2781361.812708854,24821.740602915314,5330204.928860281,8.81547298624569,144893849.07592124,0.002440988834599031,80871015123.37292,2.6807524961469007e-18,29941612058220588,8.382475483177117e-27
0.00001787703797603268,23319195464204018000,593.1765606151008,539.5420432336556,11103977.746987654,1287818335.706502,8757064.337623943,9.188829668206417,2694685.892139315,6580.922976701516,8709934.78215221,5.129266214194975,218356631.61677974,0.0008304626341681138,130026831324.91687,1.5778669905912936e-18,48141017331747944,6.505537405809271e-27
0.000026940893768971152,72636922223220190000,828.2796870190881,1743.2951596318107,17098954.97668794,543940778.0147183,8167168.861906958,80.5935868499607,2886086.5273626177,1401.95125719711,13779202.283074543,2.1025276812249887,315161910.38944465,0.0002762802637296528,209061019434.53925,8.469380749249567e-19,77402564204934350,4.689949224123705e-27
0.00004148613587705902,214950688219745520000,1126.9913448725958,5503.6558099638105,23636752.529673897,169489069.63903698,,,1131491.4243761562,1053457.7546693503,19888013.856148228,0.6865649142758898,435664290.17508936,0.00009433017833907914,336134545475.41046,4.381471208391118e-19,124450152438884940,3.0550439184509154e-27
0.00006527825263736926,571850912282143100000,1533.4306893227804,17476.23718409364,27833417.79794659,57191463.37360497,,,,,25037248.880044565,0.2175759846743025,589380352.3361288,0.00003206162809237436,540447152546.9571,2.2150328210177547e-19,200094668712205730,1.840090701871893e-27
0.00010495632250832704,1.2929138921479023e+21,2141.1997299770046,56658.023099429534,32075299.467929143,19865629.679658033,,,,,28294957.923668858,0.089598153646213,797332275.2256279,0.000010433933614333134,868947058931.4388,1.0595487081011436e-19,321718179226089660,1.0060671727748967e-27
0.00016875190724951862,2.2791289214103805e+21,2913.4042535948397,187267.6005840392,38003876.04330254,5160171.7466737395,,,,,30503643.304743033,0.028975807062298416,1078656176.0951085,0.000003135531229363517,1454563083032.3215,5.874927285058175e-20,517268088703638300,4.9702596915511435e-28
0.00027132435207122225,2.883045688137278e+21,3941.344893774108,556987.994428879,,,,,,,,,1459239996.146985,9.087557584450121e-7,17841452978270.473,3.412744060279169e-22,831679068415592800,2.3340672255971215e-28
0.0004362433896407329,2.2582168920901823e+21,5331.975318053319,1711525.3546145647,,,,,,,,,1931949925.063483,2.828218896284402e-7,28686020491494.17,1.272790680552332e-22,1337198423691902700,9.949783130892711e-29
0.0006558487260844287,902491712854754100000,7213.263887978671,5183582.72173355,,,,,,,,,2503170645.277186,9.508890172340035e-8,46122239743626.15,4.6817195363356155e-23,2149987527918148400,3.8858236264719487e-29
0.0008158133144105175,308602406668434000000,9758.33022734496,15928230.670547608,,,,,,,,,3243284516.896322,3.2515161636750366e-8,74156713357968.53,1.7220818907469782e-23,3456814103505574400,1.4032175574419515e-29
0.001012363041481923,100096792826413480000,13277.584708379927,48861985.660863385,,,,,,,,,4202228272.92488,1.1118392547421876e-8,119231376590201.81,6.247371694265211e-24,5557968867738462000,4.642331516627667e-30
0.0012031857406564833,31387915016800950000,18540.10161025643,152114404.16890606,,,,,,,,,5563508825.424985,3.4896147515883834e-9,191703765173230,2.2456271524955295e-24,8783276505951315000,1.513886584752519e-30
0.0013662757355539204,8849699141966279000,25372.050073050654,460921249.563289,,,,,,,,,7526489697.919312,1.026134609647895e-9,308227034129646.8,8.146690110241248e-25,,
0.0015477557216194131,2742029730962072000,35632.67845341716,1389572908.0878189,,,,,,,,,9964639981.27806,3.22451239413457e-10,495576623038727.1,2.888129357848967e-25,,
0.0017272546760942976,810451452709131800,50331.660397833875,4172466594.3331184,,,,,,,,,13192610890.563519,9.962870633819971e-11,796802882641260.1,1.0381424418621918e-25,,
0.001976729803387401,208956579562839580,72297.84669797959,12537478504.932222,,,,,,,,,17466258935.27702,3.1840764021483895e-11,1281123451490583.2,3.6298404020495503e-26,,
0.0021089727007722477,59918559406546040,108981.16423652202,35694508655.310455,,,,,,,,,22630517531.741478,1.1073345238334135e-11,1958651265303781.2,1.5214178609733735e-26,,
0.0022500626261519018,20550766932554870,176021.25660210894,108997089551.07368,,,,,,,,,29961505143.113926,3.509200577792555e-12,6061198831566262,1.1605856759592097e-27,,
0.002479591151455817,6603680839695756,285055.9112317548,116351286150.85645,,,,,,,,,39667311592.92978,1.1120838762028863e-12,9745376348949502,4.057960263217723e-28,,
0.0026312377328891637,1968387317320437.8,382867.8432774844,35432420583.890755,,,,,,,,,52517241757.20212,3.481966249611446e-13,15668906898096586,1.4386105290110963e-28,,
0.0028736872301456714,542231938118877.2,763896.4108270969,1304244637.8436449,,,,,,,,,71046976189.2629,1.0164967763246608e-13,25192936074519468,4.803498018310365e-29,,
0.003029389132118081,145937912140629.3,783378.1313320384,340319440.09117997,,,,,,,,,94062114996.33722,3.225221835655483e-14,40505954383577580,1.6872903392526625e-29,,
0.003332816504588099,33283292024352.254,1332192.4713949796,302907846.98699653,,,,,,,,,121873513405.77908,1.1216437781558956e-14,65126682164844230,5.686007677565571e-30,,
0.003589432275776764,5872410610678.671,1518153.1450226072,47939968.930655286,,,,,,,,,161353530408.44266,3.554547347404991e-15,147908055412417120,9.716719831721072e-31,,
0.0037233519486651184,1300361766714.65,1722433.6172358922,12346793.625008801,,,,,,,,,213622804887.75568,1.1169764541104876e-15,3404408990623340,4.7877254796277834e-27,,
0.004150409165384675,273992673989.93628,1858942.2607528951,3026401.701933575,,,,,,,,,282824321554.0123,3.526961090407618e-16,10673723451331.842,9.387206010602521e-22,,
0.00423058254367398,61088766794.304054,2176206.5372490026,311196.0304065504,,,,,,,,,382613636338.5184,1.0296322025010618e-16,4684258295577.976,5.352966275486341e-21,,
0.0046071212570103345,15287073458.839396,4233979.14000742,145941.64155898595,,,,,,,,,517611759511.38184,3.005824122388269e-17,2232200669107.5796,2.0731930368310817e-20,,
0.004687370497678352,4316551691.337132,6906189.6160669895,153701.78853859418,,,,,,,,,685288234039.9177,9.594852892733265e-18,,,,
0.004894162452557619,1384549976.6724918,10295979.28714325,75005.54472740859,,,,,,,,,887907791371.0403,3.3087506805515296e-18,,,,
0.005205504274327475,437713076.10108614,12105334.093051305,25147.045570722454,,,,,,,,,1175538907603.9124,1.0664307758006798e-18,,,,
0.005249835146719574,125830808.57359721,13582333.07226761,7564.616083926164,,,,,,,,,1556345981779.0034,3.322941896075391e-19,,,,
0.005597690853968136,33842638.77887322,14595630.956355328,3963.3246850103847,,,,,,,,,2060512671534.487,1.0505183225902351e-19,,,,
0.005771196322472624,6280340.921073891,2578258.0270489496,152248.31823850848,,,,,,,,,2787526340187.2754,2.957726849527915e-20,,,,
0.006047125250643966,1227465.5957495696,1854625.9571529347,868181.7700706293,,,,,,,,,3771053293960.719,8.952957614532829e-21,,,,
0.006320198727185168,194498.17225750352,387858.77499801316,1640071122.0938694,,,,,,,,,5101599486567.173,2.7297344227059468e-21,,,,
0.006569209980609618,29929.79441165892,387858.77499801316,348988394.97281575,,,,,,,,,6733428918516.447,8.144005429669827e-22,,,,
0.006962993975585335,4633.913673391672,387858.77499801316,74260742.83303565,,,,,,,,,8751250042799.545,2.9652021199382993e-22,,,,
0.006955840458375494,1003.4171130309479,387858.77499801316,6351962361.137371,,,,,,,,,11338737061674.475,1.0054043288294156e-22,,,,
0.007506973855402555,228.23881978395738,,,,,,,,,,,14691267821741.096,3.496520758651404e-23,,,,
0.0074154661175621535,48.65148745397962,,,,,,,,,,,19450394617912.543,1.12695023144814e-23,,,,
0.007724726956306861,14.50175639887532,,,,,,,,,,,25751205095632.51,3.571363773298381e-24,,,,
0.00774261301912477,3.856603466068456,,,,,,,,,,,34093116201696.02,1.1263322137518683e-24,,,,
0.008065517467531536,1.1495542463092396,,,,,,,,,,,46122239743626.15,3.312023099300762e-25,,,,
0.008216134952376643,0.3607986890696689,,,,,,,,,,,61063195808596.22,1.0357528484307864e-25,,,,
0.008084192606847033,0.1116116748704849,,,,,,,,,,,82608211579555.08,3.106939860721584e-26,,,,
0.008395413925610341,0.03720975409135404,,,,,,,,,,,30503643.304743033,0.028975807062298416,,,,
0.008395413925610341,0.012197327933054393,,,,,,,,,,,42405458.03932462,0.023879711695194938,,,,
0.008578604829506125,0.0033149224834631637,,,,,,,,,,,,,,,,
